frame.time_relative,frame.len,sll.pkttype,sll.hatype,sll.unused,sll.etype,ip.version,ip.hdr_len,ip.dsfield,ip.dsfield.dscp,ip.len,ip.flags,ip.flags.df,ip.ttl,ip.proto,Label
2.581559,68,0,1,0,0x0800,4,20,0x00,0,52,0x00,0,56,6,0
2.587343,68,0,1,0,0x0800,4,20,0x00,0,52,0x00,0,56,6,0
2.587363,68,4,1,0,0x0800,4,20,0x00,0,52,0x40,1,64,6,0
2.592079,363,0,1,0,0x0800,4,20,0x00,0,347,0x00,0,56,6,0
2.59208,137,0,1,0,0x0800,4,20,0x00,0,121,0x00,0,56,6,0
2.592104,68,4,1,0,0x0800,4,20,0x00,0,52,0x40,1,64,6,0
2.592157,68,4,1,0,0x0800,4,20,0x00,0,52,0x40,1,64,6,0
2.597717,491,4,1,0,0x0800,4,20,0x00,0,475,0x40,1,64,6,0
2.59965,87,0,772,0,0x0800,4,20,0x00,0,71,0x40,1,64,17,0
2.599881,186,0,772,0,0x0800,4,20,0x00,0,170,0x40,1,64,17,0
2.600084,87,0,772,0,0x0800,4,20,0x00,0,71,0x40,1,64,17,0
2.600283,210,0,772,0,0x0800,4,20,0x00,0,194,0x40,1,64,17,0
2.600748,675,0,1,0,0x0800,4,20,0x00,0,659,0x00,0,56,6,0
2.60076,68,4,1,0,0x0800,4,20,0x00,0,52,0x40,1,64,6,0
2.601408,460,0,1,0,0x0800,4,20,0x00,0,444,0x00,0,56,6,0
2.601409,250,0,1,0,0x0800,4,20,0x00,0,234,0x00,0,56,6,0
2.601409,107,0,1,0,0x0800,4,20,0x00,0,91,0x00,0,56,6,0
2.601421,68,4,1,0,0x0800,4,20,0x00,0,52,0x40,1,64,6,0
2.601444,68,4,1,0,0x0800,4,20,0x00,0,52,0x40,1,64,6,0
2.601455,68,4,1,0,0x0800,4,20,0x00,0,52,0x40,1,64,6,0
2.601607,107,4,1,0,0x0800,4,20,0x00,0,91,0x40,1,64,6,0
2.607127,68,0,1,0,0x0800,4,20,0x00,0,52,0x40,1,56,6,0
2.609592,956,0,1,0,0x0800,4,20,0x00,0,940,0x40,1,56,6,0
2.609609,68,4,1,0,0x0800,4,20,0x00,0,52,0x40,1,64,6,0
2.628577,76,4,1,0,0x0800,4,20,0x00,0,60,0x40,1,64,6,0
2.635137,1401,4,1,0,0x0800,4,20,0x00,0,1385,0x40,1,64,17,0
2.636785,245,4,1,0,0x0800,4,20,0x00,0,229,0x40,1,64,6,0
2.636832,315,4,1,0,0x0800,4,20,0x00,0,299,0x40,1,64,6,0
2.63697,106,4,1,0,0x0800,4,20,0x00,0,90,0x40,1,64,6,0
2.638218,68,0,1,0,0x0800,4,20,0x00,0,52,0x00,0,56,6,0
2.67006,1401,0,1,0,0x0800,4,20,0x00,0,1385,0x40,1,56,17,0
2.670279,68,0,1,0,0x0800,4,20,0x00,0,52,0x00,0,56,6,0
2.670279,106,0,1,0,0x0800,4,20,0x00,0,90,0x00,0,56,6,0
2.670296,68,4,1,0,0x0800,4,20,0x00,0,52,0x40,1,64,6,0
2.670383,401,0,1,0,0x0800,4,20,0x00,0,385,0x00,0,56,6,0
